id,year,height,weighed_height_by_pts,weighed_height_by_orb_drb_sum,position
0,1974,2.0584367346938777,2.047560520425294,2.0491311184172583,PF
1,1975,2.0484877192982456,2.0550747899510933,2.0559899522732983,PF
2,1976,2.056209375,2.0570052440061213,2.0586431127646385,PF
3,1977,2.0577135802469138,2.0592140298928374,2.0615176304004215,PF
4,1978,2.061817391304348,2.064328024583325,2.064577876614929,PF
5,1979,2.065968674698795,2.066417515688446,2.067133987866136,PF
6,1980,2.065961797752809,2.0652514343485406,2.06540877470601,PF
7,1981,2.0705703703703704,2.0694972476663094,2.0696478665786,PF
8,1982,2.0713290322580646,2.0698397037161733,2.0697896098256936,PF
9,1983,2.0793982142857144,2.0746285303434475,2.075295472532951,PF
10,1984,2.076076470588236,2.0756046239837396,2.075359585859381,PF
11,1985,2.0785156626506023,2.0777001571952556,2.0777156316596255,PF
12,1986,2.07954358974359,2.0778756474439204,2.0765425358577168,PF
13,1987,2.077192207792208,2.0744297890295353,2.0741026460571126,PF
14,1988,2.0813058823529413,2.0789014584445997,2.079392378369215,PF
15,1989,2.0780375,2.075975839648983,2.076059691207541,PF
16,1990,2.0817305263157895,2.0785777305351854,2.078032837116155,PF
17,1991,2.0825326315789474,2.078749848903749,2.0777654247391952,PF
18,1992,2.0800121951219515,2.0778994234932213,2.0773978608462347,PF
19,1993,2.079695555555556,2.076025885608856,2.0758726394278324,PF
20,1994,2.0781596153846156,2.077106218968663,2.0770197321852084,PF
21,1995,2.0812698795180724,2.0824246081464626,2.0832410086812736,PF
22,1996,2.0852660194174764,2.082312364792126,2.0833814005095754,PF
23,1997,2.0806833333333334,2.0803128402195896,2.079968464355138,PF
24,1998,2.081060273972603,2.0813112405324765,2.080244977097879,PF
25,1999,2.0823903225806455,2.0813571275455525,2.0814286915056974,PF
26,2000,2.080751612903226,2.0835460227447835,2.083522397783072,PF
27,2001,2.0857633333333334,2.0873075264738428,2.0869101099212153,PF
28,2002,2.089727272727273,2.093829461905299,2.092817644746448,PF
29,2003,2.090549152542373,2.0931780632480432,2.0918219293730056,PF
30,2004,2.087349253731343,2.0890441880860826,2.0870400422609614,PF
31,2005,2.085975,2.087761239779899,2.0883580320038213,PF
32,2006,2.08676875,2.089362692321296,2.0877352690754285,PF
33,2007,2.0871050847457626,2.0893957972088826,2.086894883627609,PF
34,2008,2.0900571428571437,2.091533865652726,2.0876980850248956,PF
35,2009,2.0862440677966103,2.091837897681616,2.0898931146902826,PF
36,2010,2.086591044776119,2.087076731475187,2.084579924242424,PF
37,2011,2.090382089552239,2.0891299906020233,2.086606637054754,PF
38,2012,2.084339393939394,2.0889763454226387,2.085537074811769,PF
39,2013,2.0881473684210525,2.0904185300925926,2.0866672446587344,PF
40,2014,2.087098461538462,2.0925591327366693,2.090495748730964,PF
41,2015,2.0866847058823526,2.093011400520938,2.091531664058425,PF
42,2016,2.0882224719101123,2.1003571021762415,2.097065533919334,PF
43,2017,2.096844705882353,2.1015139609470808,2.098185077439974,PF
44,1974,1.8885122807017545,1.8920413216810001,1.891291381012837,PG
45,1975,1.8851217391304351,1.8903538822150603,1.8893943895148313,PG
46,1976,1.8935884057971015,1.8975671779761387,1.896851262967975,PG
47,1977,1.887982,1.8889040896108895,1.8908736186260042,PG
48,1978,1.8837944954128445,1.8822279324560909,1.884128650227125,PG
49,1979,1.8895391304347826,1.8884977519015873,1.8893326239199637,PG
50,1980,1.8905568627450984,1.891084379192701,1.8932604852993273,PG
51,1981,1.8930470588235297,1.8904333482358409,1.8916806414283351,PG
52,1982,1.8902438095238094,1.8921821195202282,1.8937810004969353,PG
53,1983,1.8938723809523808,1.895844493676118,1.8968328276474504,PG
54,1984,1.8966831858407078,1.899392327036117,1.9007277607585704,PG
55,1985,1.8993555555555552,1.9019264381904686,1.9030379009163807,PG
56,1986,1.901044262295082,1.90133708991898,1.9041282487533002,PG
57,1987,1.9047829059829062,1.905016432080849,1.9048958628401045,PG
58,1988,1.8954978417266186,1.896279344251725,1.8954864574113157,PG
59,1989,1.8917046874999999,1.8977445538879252,1.8967825746335096,PG
60,1990,1.8871513513513514,1.8932937358198219,1.8939300702941941,PG
61,1991,1.889221212121212,1.8919407627225657,1.8926150366080212,PG
62,1992,1.886351898734177,1.8865289914402679,1.8880200730125867,PG
63,1993,1.8882590909090908,1.8881828386270905,1.8887982090506903,PG
64,1994,1.8916783216783215,1.8915660618583325,1.892836223709873,PG
65,1995,1.8931786163522013,1.8941695757478973,1.8954564137539074,PG
66,1996,1.8835188571428574,1.8950684335057904,1.8991344990761185,PG
67,1997,1.8980848167539266,1.9019824752007561,1.9035944664031619,PG
68,1998,1.8931889999999998,1.8965243915318515,1.8981552972493347,PG
69,1999,1.8899643678160918,1.8961279037249283,1.8991417819859187,PG
70,2000,1.8967490445859876,1.902764043645355,1.907443269041527,PG
71,2001,1.8953508379888266,1.9024842379084965,1.9059014993510273,PG
72,2002,1.8959079545454545,1.9031246538898647,1.9066891684798035,PG
73,2003,1.9055941520467834,1.9101065133592081,1.9147934824043513,PG
74,2004,1.903989054726368,1.9113997727716125,1.9175623086734692,PG
75,2005,1.902150243902439,1.9020139445596254,1.9079845210473982,PG
76,2006,1.9030561224489795,1.9039727066122376,1.9100145876572496,PG
77,2007,1.9011471910112356,1.9032888867740978,1.9091252924767892,PG
78,2008,1.9025809523809525,1.9109558750409936,1.9147099857120178,PG
79,2009,1.9111148148148147,1.9112339334787245,1.9128394818492087,PG
80,2010,1.9115586854460096,1.9088542985213042,1.913581548232771,PG
81,2011,1.9071364485981304,1.9081169432658733,1.9113514625719772,PG
82,2012,1.902119587628866,1.90512435201366,1.9085707478699903,PG
83,2013,1.907066028708134,1.9063780126721093,1.91154177852349,PG
84,2014,1.9117136563876649,1.9091268549517844,1.9136052501544163,PG
85,2015,1.907032,1.904800813177459,1.9091164865535202,PG
86,2016,1.9097624999999998,1.9067121116975083,1.9107955858487504,PG
87,2017,1.9141299539170507,1.9083580239515523,1.913471754268142,PG
88,1974,1.9863536231884062,1.9873024363017333,1.9931988090420307,SF
89,1975,1.9937350649350656,1.9933217919637072,1.9972393868293445,SF
90,1976,1.992682191780822,1.9979059471803018,2.0008014791227975,SF
91,1977,2.0052195652173914,2.004222429669143,2.0085122126306225,SF
92,1978,2.00739375,2.0060758620689656,2.0101666715406736,SF
93,1979,2.004431707317073,2.0087855851988587,2.011149540728778,SF
94,1980,2.0112463414634147,2.0090867060711313,2.011583704689059,SF
95,1981,2.0114516853932582,2.010968638256185,2.0122323337158825,SF
96,1982,2.0150666666666663,2.0126162183964946,2.015062485408997,SF
97,1983,2.020454545454545,2.0142227825061094,2.019034079422383,SF
98,1984,2.0220494845360824,2.013758459453786,2.0192701147769294,SF
99,1985,2.01840202020202,2.014967153908876,2.0193131684194934,SF
100,1986,2.016407920792079,2.0132333931913124,2.017718057176196,SF
101,1987,2.0157872340425538,2.0172793169738785,2.020613156718086,SF
102,1988,2.019701052631579,2.0197000659022013,2.0240682643427745,SF
103,1989,2.018392857142857,2.01631463945123,2.020029367273486,SF
104,1990,2.0193000000000003,2.0146812804989165,2.017853666146646,SF
105,1991,2.0171261261261266,2.0170365822050953,2.0208407315458454,SF
106,1992,2.015796551724138,2.019236547589308,2.0239092544359436,SF
107,1993,2.0227269841269844,2.0231502355474253,2.0273769244584936,SF
108,1994,2.0237398373983737,2.0287769628568433,2.0326276847040012,SF
109,1995,2.0304672413793106,2.031641509846827,2.0372215576196795,SF
110,1996,2.027170422535211,2.030881801992152,2.034447659362549,SF
111,1997,2.0280062893081765,2.0324341373893837,2.0353523522840122,SF
112,1998,2.0330520710059177,2.0322393412369983,2.035059764304817,SF
113,1999,2.0376815789473683,2.0351518292829787,2.038240051092819,SF
114,2000,2.0365779069767447,2.034513674471607,2.037501382488479,SF
115,2001,2.035489010989011,2.035890943326107,2.0382305637764464,SF
116,2002,2.0348222222222225,2.0372796428244584,2.0384520245271793,SF
117,2003,2.041462745098039,2.039367546282986,2.0412204252317614,SF
118,2004,2.0457524861878453,2.0447749602018077,2.046964979994145,SF
119,2005,2.0441478260869563,2.040203989254214,2.0420229234711824,SF
120,2006,2.044632085561498,2.041684166467923,2.044628913709698,SF
121,2007,2.0430497175141245,2.0400160459652468,2.0433449684273834,SF
122,2008,2.043151219512195,2.0427461748106186,2.046099250005805,SF
123,2009,2.04553807106599,2.045266732348815,2.047332898038851,SF
124,2010,2.0429568627450987,2.045386999597926,2.0479484605574787,SF
125,2011,2.0433013215859033,2.0471864766978958,2.0492063618638685,SF
126,2012,2.041260416666667,2.0462753813215206,2.047822447746768,SF
127,2013,2.047699497487437,2.0468282472137793,2.0478168653442688,SF
128,2014,2.044065,2.0470676413799525,2.046916989108271,SF
129,2015,2.0465142857142857,2.045889117665018,2.046289103576886,SF
130,2016,2.045992814371258,2.0467823722052594,2.0482749455794806,SF
131,2017,2.0458797814207648,2.0451985888374935,2.0458633192227267,SF
132,1974,1.9384818181818178,1.9316929392446633,1.932680420248328,SG
133,1975,1.9376571428571423,1.9368427007299267,1.938065088757396,SG
134,1976,1.9437047619047618,1.9378041585879522,1.9386549999999998,SG
135,1977,1.9439466666666665,1.9404228295121158,1.9432715443493924,SG
136,1978,1.9549533333333329,1.9514791661110376,1.956079221481348,SG
137,1979,1.9551135135135136,1.9532495185694636,1.9566452144082331,SG
138,1980,1.952171428571429,1.947806000662142,1.9509186997678158,SG
139,1981,1.9600333333333329,1.9584364962189413,1.961537247993736,SG
140,1982,1.9650926829268291,1.9603565201209585,1.9619995830964558,SG
141,1983,1.9600333333333333,1.9640808974835753,1.9632475969645866,SG
142,1984,1.9717925925925925,1.9721081390393862,1.9683599470666078,SG
143,1985,1.9727333333333334,1.972143791946309,1.9702781648993726,SG
144,1986,1.9737916666666668,1.9745319342704415,1.9715280238924837,SG
145,1987,1.97405625,1.976724784563507,1.974927068775285,SG
146,1988,1.9729621621621622,1.9741893736073286,1.9723272438723334,SG
147,1989,1.9771590909090906,1.979679800498753,1.9769765994056,SG
148,1990,1.974547619047619,1.977827234818869,1.976955703966199,SG
149,1991,1.974547619047619,1.981810602561411,1.9797135610079577,SG
150,1992,1.9742727272727267,1.9776083862433858,1.9773221636240705,SG
151,1993,1.9724914285714286,1.977668836031855,1.9765516339869282,SG
152,1994,1.9688432432432432,1.9810224958402665,1.9795585786448355,SG
153,1995,1.9804944444444448,1.985842434293181,1.9850848995463382,SG
154,1996,1.9831169811320757,1.9879187283720579,1.9869916185991756,SG
155,1997,1.984375,1.9870828888423695,1.9869542334096109,SG
156,1998,1.9831049999999997,1.985866950688905,1.985608523780111,SG
157,1999,1.980565,1.9870267381974251,1.9871031096563012,SG
158,2000,1.9811999999999999,1.9862184904379316,1.9859267446153848,SG
159,2001,1.9820193548387097,1.9872019404270755,1.986772493929934,SG
160,2002,1.9926709677419356,1.994241238317757,1.9931225962221273,SG
161,2003,1.9920857142857142,1.992432196580398,1.9930434135528814,SG
162,2004,1.9932952380952382,1.9919036641949612,1.99264493281075,SG
163,2005,1.9860380952380954,1.9873217351736683,1.9869642978826965,SG
164,2006,1.9902311111111115,1.9891886150875273,1.9887365323800354,SG
165,2007,1.987826086956522,1.988880459770115,1.990187322611164,SG
166,2008,1.9874301886792456,1.9887773109243698,1.9883665001314754,SG
167,2009,1.9884571428571434,1.988275494051954,1.9888183366077279,SG
168,2010,1.9924058823529416,1.9888103507819825,1.989912097165992,SG
169,2011,1.9916205128205133,1.9869293711195672,1.9882269370774828,SG
170,2012,1.9901243243243252,1.9883276406826573,1.9878492402385073,SG
171,2013,1.9881272727272732,1.986993809965955,1.986073664288834,SG
172,2014,1.9864916666666668,1.9892505527953093,1.9874174013921115,SG
173,2015,1.9877689655172417,1.9935551615818239,1.991354136206233,SG
174,2016,1.9918218181818188,1.9947382179618138,1.9928903514979943,SG
175,2017,1.9905133333333336,1.9959457159575356,1.993052675216997,SG
176,1974,2.09296,2.091629227841218,2.0909692194620026,C
177,1975,2.099365217391304,2.1029260919687465,2.100936899712683,C
178,1976,2.099733333333333,2.113055233257586,2.106426965966691,C
179,1977,2.109409523809524,2.1143356084527576,2.111972838210209,C
180,1978,2.109536842105263,2.1168894736842105,2.1152096470292676,C
181,1979,2.106863157894737,2.109871742562234,2.1091308142021963,C
182,1980,2.1069299999999997,2.1141847816960544,2.1107251855779428,C
183,1981,2.1214079999999997,2.1186799264777014,2.116569656262347,C
184,1982,2.118946153846154,2.125427015508465,2.125328441479685,C
185,1983,2.1301363636363635,2.1305785585776276,2.1341948563218387,C
186,1984,2.1238307692307687,2.1272253192670743,2.132460959232614,C
187,1985,2.128344827586206,2.12733422338569,2.1348101073453143,C
188,1986,2.149323809523809,2.1381117936829908,2.148899672636241,C
189,1987,2.136078048780488,2.137060477251034,2.144117815687654,C
190,1988,2.1360901960784315,2.133511922488527,2.1399197915880084,C
191,1989,2.1443950000000003,2.1410569674418602,2.148792032374101,C
192,1990,2.144183333333333,2.1478767006802717,2.1486139051995576,C
193,1991,2.1396739130434783,2.141037531472652,2.144163129659305,C
194,1992,2.147146666666667,2.1403910050938006,2.142760655737705,C
195,1993,2.137382978723404,2.136207290709996,2.1344459068700767,C
196,1994,2.149642105263158,2.1449384707526447,2.142013644558307,C
197,1995,2.1430511627906976,2.1534945204528095,2.15010310318076,C
198,1996,2.134720588235294,2.1531773431053733,2.1503263023601953,C
199,1997,2.1293070422535214,2.148666092806965,2.141068064072081,C
200,1998,2.1265661538461536,2.13650997959382,2.132611899313501,C
201,1999,2.125254285714286,2.131342851831196,2.1268533128253675,C
202,2000,2.1312037735849056,2.1357959751092284,2.1295229166666667,C
203,2001,2.1258695652173913,2.123761251996168,2.124988219444652,C
204,2002,2.1224657534246574,2.1260521390786296,2.125063393511425,C
205,2003,2.1275523809523813,2.13432293067986,2.132783013414363,C
206,2004,2.1273976744186047,2.1273172070303143,2.1258579348747126,C
207,2005,2.1281081081081084,2.1268924628676,2.1261447544069827,C
208,2006,2.1263428571428573,2.1282477492780703,2.1263266444205646,C
209,2007,2.1235275862068965,2.1261027754677757,2.1261875152170973,C
210,2008,2.1250140845070424,2.1252088838493393,2.124776987827773,C
211,2009,2.125023376623376,2.1281665052933976,2.1254678406654097,C
212,2010,2.1331766666666665,2.129770535669712,2.128096666666667,C
213,2011,2.130812195121951,2.129908957532811,2.1280169839516603,C
214,2012,2.126087323943662,2.12674219102532,2.1246552262563485,C
215,2013,2.1205371428571427,2.1266670947829542,2.125159301452179,C
216,2014,2.1187558441558445,2.1250479764603734,2.123529764203382,C
217,2015,2.1238882352941175,2.128783080193237,2.1275811750083657,C
218,2016,2.1273795918367346,2.1285434696234695,2.12738141981732,C
219,2017,2.1363214285714283,2.130983120525809,2.1295180278509593,C
